minority_ratio,separation,seed,ari
0.03,10.0,62,0.2727476028718923
0.03,10.0,63,0.30827335066595946
0.03,10.0,64,0.0029206028346276183
0.03,10.0,65,0.3909540916243841
0.03,10.0,66,0.006371245279770427
0.03,12.0,42,0.007713981900421281
0.03,12.0,43,0.697302751341493
0.03,12.0,44,0.30197850020114547
0.03,12.0,45,0.05280759459874473
0.03,12.0,46,0.0380976614634208
0.03,12.0,47,0.30645611923553306
0.03,12.0,48,0.9987825843397433
0.03,12.0,49,0.003375793590509767
0.03,12.0,50,0.7514628505238533
0.03,12.0,51,0.817472951582509
0.03,12.0,52,0.012217586164555599
0.03,12.0,53,0.0176300227850637
0.03,12.0,54,0.017424415119549126
0.03,12.0,55,0.9987825843397433
0.03,12.0,56,0.9680886373596566
0.03,12.0,57,0.9879669126232258
0.03,12.0,58,0.0060163438317782335
0.03,12.0,59,-0.00043186080586870803
0.03,12.0,60,0.0005874627499411364
0.03,12.0,61,0.011890065700659772
0.03,12.0,62,0.2960348102854077
0.03,12.0,63,0.33830733468648644
0.03,12.0,64,0.0010506026464168722
0.03,12.0,65,0.4683336784312559
0.03,12.0,66,0.008273976295588807
0.05,0.5,42,0.0008831858170902633
0.05,0.5,43,-7.976789719061886e-05
0.05,0.5,44,0.0009741417297595073
0.05,0.5,45,-0.00027695123879946794
0.05,0.5,46,-0.00035629658384547894
0.05,0.5,47,0.000568442679004943
0.05,0.5,48,0.00035687796015589096
0.05,0.5,49,-9.010426413731917e-05
0.05,0.5,50,0.0018592107101718766
0.05,0.5,51,0.0006702345296527951
0.05,0.5,52,0.00022387596391361858
0.05,0.5,53,0.0012342143703551066
0.05,0.5,54,-0.0004407126523974765
0.05,0.5,55,0.000514176924948675
0.05,0.5,56,0.0017372151974118747
0.05,0.5,57,0.001235883850108986
0.05,0.5,58,-0.0001467291263014617
0.05,0.5,59,0.0002765341087836
0.05,0.5,60,-0.0002831279178973456
0.05,0.5,61,-0.00011014879846019002
0.05,0.5,62,0.001418169192469892
0.05,0.5,63,0.0013777399624429233
0.05,0.5,64,0.0011411548484060725
0.05,0.5,65,3.536372972849673e-05
0.05,0.5,66,0.0008470998895167076
0.05,1.0,42,0.0021962950679833664
0.05,1.0,43,-0.0001878805702183797
0.05,1.0,44,0.0017386506345923461
